Exercise (old name),Description,Name with Link,Movement Type,Pattern,Primary Body Part,Secondary Body Part,Equipment
 Kneeling Ab wheel Rollout,Ab Rollout – Kneeling,https://drive.google.com/file/d/1gw2lJIhZqeLMWzljBi-yDYzlF41VnMQz/view?usp=drivesdk,Isolation,Isolation,Abdominals,,Ab Wheel
 Kneeling landmine anti-rotation,Anti-Rotation Press – Kneeling Landmine,https://drive.google.com/file/d/1Vo3wRKksQH5VKQt1QIxWj8pUGVhzKILY/view?usp=drivesdk,Compound,Accessory,Abdominals,,Barbell + Landmine
 Cable Pallof Press (mid),Anti-Rotation Press – Pallof (Mid Height),https://drive.google.com/file/d/1s1EjON2sxk3klcC-y1GY4hfZhjlA6VPi/view?usp=drivesdk,Isolation,Vertical Pull,Abdominals,,Cables
 Standing landmine anti-rotation,Anti-Rotation Press – Standing Landmine,https://drive.google.com/file/d/1DG2EexgbdR9rY0gEh-EuhGWHegjx6Q64/view?usp=drivesdk,Compound,"None of the provided categories are suitable for ""Standing landmine anti-rotation""",Abdominals,,Barbell + Landmine
""" 45⁰ back extension """,Back Extension – 45 Degree,https://drive.google.com/file/d/1YUkrQDLMw557nJPsjB0Q0TA0w1FKLhWT/view?usp=drivesdk,Compound,Hinge,Back,Hamstrings,Machine
""" 45⁰ back extension (Glute)""",Back Extension – 45 Degree (Glute Emphasis),https://drive.google.com/file/d/1_cxHCieF7KvjDaAnvtCoYas-7Qco5VBb/view?usp=drivesdk,Compound,Hinge,Glutes,Hamstrings,Machine
""" 45⁰ back extension (hamstring)""",Back Extension – 45 Degree (Hamstring Emphasis),https://drive.google.com/file/d/1aBHjG7x_ea4VolHTuTFRr0L7AQzsLk0k/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Machine
Flat DB bench neutral,Bench Press – Flat Dumbbell (Neutral Grip),https://drive.google.com/file/d/1iwalC3WCbNaQDihJqa7U5lyw_zKPMOqd/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Dumbbell + Bench
Flat DB bench rotating,Bench Press – Flat Dumbbell (Rotating Grip),https://drive.google.com/file/d/12BgMpvHSuYW70KIx9mtSSFJaEysyt6tM/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Dumbbell + Bench
Flat DB bench (sp),Bench Press – Flat Dumbbell (Semi-Pronated),https://drive.google.com/file/d/1Bip0ZzGdLfbyeJVhtan6hbPphnpe0B2H/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Dumbbell + Bench
Flat Foot Barbell Bench Press,Bench Press – Flat Foot Barbell,https://drive.google.com/file/d/1fJAC6ucj0bz6QuUj8tlKzNooMOxgdxrg/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Barbell + Bench
High incline DB press,Bench Press – High Incline Dumbbell,https://drive.google.com/file/d/112yxpVk-yVbzCCuP5AAuoYvDybL-lh7J/view?usp=drivesdk,Compound,Horizontal Push,Shoulders,Triceps,Dumbbell + Bench
Incline Barbell Bench Press,Bench Press – Incline Barbell,https://drive.google.com/file/d/1D6YmGttqS8Mqkbi5t8Xn-bMiseyEJ4mh/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Barbell + Bench
Close grip Incline bench press,Bench Press – Incline Barbell (Close Grip),https://drive.google.com/file/d/1L_lmKNXqm0GeSp1Jx1r2eroTYCnxzAmd/view?usp=drivesdk,Compound,Vertical Push,Triceps,Chest,Barbell + Bench
 30⁰ incline db bench neutral,"Bench Press – Incline Dumbbell (30°, Neutral Grip)",https://drive.google.com/file/d/1LiLa2CK2XmJH0bxg1uqesPE89mBykPvH/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Dumbbell + Bench
 30⁰ Incline DB bench rotating,"Bench Press – Incline Dumbbell (30°, Rotating Grip)",https://drive.google.com/file/d/11urV9fJetdR4_RhuRhQpIOU6aPOtGFzp/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Dumbbell + Bench
 30⁰ incline db bench semi pro,"Bench Press – Incline Dumbbell (30°, Semi-Pronated Grip)",https://drive.google.com/file/d/1b6ucO3DL881p-_BVXAaISSWg2GaayuKS/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Dumbbell + Bench
 45⁰ incline db bench neutral,"Bench Press – Incline Dumbbell (45°, Neutral Grip)",https://drive.google.com/file/d/1I2BQ0lwToVFJoXbildTKuMmPDMo83sf8/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Dumbbell + Bench
 45⁰ incline db bench rotating,"Bench Press – Incline Dumbbell (45°, Rotating Grip)",https://drive.google.com/file/d/1lwD2D-3JPnz7CKJY76i9CBup3qvtxA_g/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Dumbbell + Bench
 45⁰ incline db bench semi-pronated,"Bench Press – Incline Dumbbell (45°, Semi-Pronated Grip)",https://drive.google.com/file/d/1AWP5PwGAe9sKEFqrgkLvIJhVjoGKftC9/view?usp=drivesdk,Compound,Horizontal Push,Chest,Shoulders,Dumbbell + Bench
Low incline barbell bench press,Bench Press – Low Incline Barbell,https://drive.google.com/file/d/1STmZRdnJJXJVG5OEMeKoUorSd7A1GKMb/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Barbell + Bench
